event_time,att,se,lo,hi
-15,0.03379097900026652,0.0727676712183141,-0.1088336565876291,0.17641561458816213
-14,-0.0828410246699109,0.06521481970565474,-0.2106620712929942,0.04498002195317237
-13,-0.002493120650108193,0.08492418374205515,-0.1689445207845363,0.1639582794843199
-12,-0.05974385035663476,0.10839278437786697,-0.272193707737254,0.15270600702398449
-11,0.08898993222051169,0.12220978864592343,-0.15054125352549821,0.3285211179665216
-10,0.07244175189845238,0.16951738027734384,-0.25981231344514155,0.4046958172420463
-9,0.0028596878535906284,0.1978588010346863,-0.3849435621743945,0.3906629378815758
-8,-0.0023438179613376325,0.16388643497938163,-0.3235612305209256,0.3188735945982503
-7,0.044962515912522816,0.2054419616987914,-0.3577037290171083,0.4476287608421539
-6,-0.0428051876923064,0.21530657422293245,-0.464806073169254,0.3791956977846412
-5,0.01738849572692438,0.21158945853174554,-0.3973268429952969,0.43210383444914563
-4,-0.09479852491528948,0.18090028389027107,-0.44936308134022074,0.25976603150964184
-3,0.005717566595723072,0.17844668792865295,-0.3440379417444367,0.35547307493588287
-2,-0.05011379410985731,0.16373450575678034,-0.37103342539314677,0.2708058371734321
-1,0.03034094058153082,0.14500993469739193,-0.2538785314253574,0.314560412588419
0,-0.055551507005754605,0.1566084095422122,-0.3625039897084905,0.2514009756969813
1,-0.11255041583552393,0.15351310125911127,-0.413436094303382,0.18833526263233413
2,-0.11906769180977114,0.14855133538042398,-0.4102283091554021,0.17209292553585984
3,-0.1187150695869831,0.15823534544112822,-0.4288563466515944,0.19142620747762823
4,-0.11103074694441183,0.17019299923801545,-0.4446090254509221,0.22254753156209844
5,-0.2219033354103495,0.15990201118937472,-0.535311277341524,0.09150460652082493
6,-0.21503647891804428,0.16840023188062556,-0.5451009334040704,0.11502797556798178
7,-0.26525889906477595,0.1858108095293891,-0.6294480857423785,0.09893028761282668
8,-0.3123512339939474,0.16171980125263816,-0.6293220444491181,0.004619576461223407
9,-0.24195243264286742,0.17116933314169958,-0.5774443256005986,0.09353946031486376
10,-0.20604792665528515,0.17523577516418434,-0.5495100459770865,0.13741419266651617
11,-0.17313068449476218,0.17723516440910608,-0.5205116067366101,0.17425023774708573
12,-0.19092985419657843,0.17707496585655455,-0.5379967872754253,0.15613707888226847
13,-0.226919051669464,0.17477487866970698,-0.5694778138620896,0.11563971052316166
14,-0.2544452572333137,0.1885502462736505,-0.6240037399296686,0.11511322546304126
15,-0.2981363327143864,0.18075282638361576,-0.6524118724262733,0.05613920699750047
16,-0.2723070626473884,0.17802636365130306,-0.6212387354039424,0.0766246101091656
17,-0.3456393411713542,0.185881567387727,-0.7099672132512991,0.018688530908590684
18,-0.509202823740118,0.25626677731559316,-1.0114857072786805,-0.006919940201555508
